App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00351,NPC Retrofit,None,Private (Investor - Limited Liability Company),PHH Real Estate,Managing Organization/Licensee,,"KPC Global Medical Centers, Inc",Private (Investor - Limited Liability Company),No,PHH Real Estate,Private (Investor - Limited Liability Company),,,Private (Investor - Limited Liability Company),"KPC Global Medical Centers, Inc","KPC Global Medical Centers, Inc"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00351,NPC Retrofit,None,Private (Investor - Limited Liability Company),PHH Real Estate,Managing Organization/Licensee,,"KPC Global Medical Centers, Inc",Private (Investor - Limited Liability Company),No,PHH Real Estate,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),"KPC Global Medical Centers, Inc","KPC Global Medical Centers, Inc"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-02897,NPC Retrofit,None,Private (Investor - Limited Liability Company),PHH Real Estate,Managing Organization/Licensee,,"KPC Global Medical Centers, Inc",Private (Investor - Limited Liability Company),No,PHH Real Estate,Private (Investor - Limited Liability Company),,,Private (Investor - Limited Liability Company),"KPC Global Medical Centers, Inc","KPC Global Medical Centers, Inc"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-02897,NPC Retrofit,None,Private (Investor - Limited Liability Company),PHH Real Estate,Managing Organization/Licensee,,"KPC Global Medical Centers, Inc",Private (Investor - Limited Liability Company),No,PHH Real Estate,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),"KPC Global Medical Centers, Inc","KPC Global Medical Centers, Inc"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-02898,NPC Retrofit,None,Private (Investor - Limited Liability Company),PHH Real Estate,Managing Organization/Licensee,,"KPC Global Medical Centers, Inc",Private (Investor - Limited Liability Company),No,PHH Real Estate,Private (Investor - Limited Liability Company),,,Private (Investor - Limited Liability Company),"KPC Global Medical Centers, Inc","KPC Global Medical Centers, Inc"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-02898,NPC Retrofit,None,Private (Investor - Limited Liability Company),PHH Real Estate,Managing Organization/Licensee,,"KPC Global Medical Centers, Inc",Private (Investor - Limited Liability Company),No,PHH Real Estate,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),"KPC Global Medical Centers, Inc","KPC Global Medical Centers, Inc"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-02899,NPC Retrofit,None,Private (Investor - Limited Liability Company),PHH Real Estate,Managing Organization/Licensee,,"KPC Global Medical Centers, Inc",Private (Investor - Limited Liability Company),No,PHH Real Estate,Private (Investor - Limited Liability Company),,,Private (Investor - Limited Liability Company),"KPC Global Medical Centers, Inc","KPC Global Medical Centers, Inc"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-02899,NPC Retrofit,None,Private (Investor - Limited Liability Company),PHH Real Estate,Managing Organization/Licensee,,"KPC Global Medical Centers, Inc",Private (Investor - Limited Liability Company),No,PHH Real Estate,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),"KPC Global Medical Centers, Inc","KPC Global Medical Centers, Inc"
