"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T"
33,"SC",112922,"SC","CORONA CITY, DEPT OF WATER & POWER","1505 W RINCON ST","CORONA","92880",9111,"RIV","SOUTH COAST AQMD","","",.00000234250625426427109392767796224698658176,.00000206,.00000561,.0000258,.0000000116,.00000184,.00000182896
33,"SC",114603,"SC","CORONA CITY, DEPT OF WATER & POWER","2643  BORDER AVE","CORONA","92882",9111,"RIV","SOUTH COAST AQMD","","",.0000002137821241755742551739822606322492608597,.000000188,.00000051,.00000235,.00000000105,.000000168,.000000166992
33,"SC",120585,"SC","CORONA CITY, DEPT OF WATER & POWER","881  PAYETTE AVE","CORONA","92882",9111,"RIV","SOUTH COAST AQMD","","",.00000362747327723447805321810325221742096884,.00000319,.00000867,.0000399,.0000000179,.00000285,.0000028329
33,"SC",121817,"SC","CORONA CITY, DEPT OF WATER & POWER","310 S VICENTIA AVE","CORONA","92882",8743,"RIV","SOUTH COAST AQMD","","",.00000426427109392767796224698658176029110757,.00000375,.0000102,.0000469,.000000021,.00000335,.0000033299
33,"SC",127751,"SC","CORONA CITY, DEPT OF WATER & POWER","BONNIE VIEW CIR","CORONA","92882",9111,"RIV","SOUTH COAST AQMD","","",.00000128496702297020695929042528997043438708,.00000113,.00000306,.0000141,.0000000063,.00000101,.00000100394
33,"SC",128356,"SC","CORONA CITY, DEPT OF WATER & POWER","2005  PROMENADE AVE","CORONA","92879",7999,"RIV","SOUTH COAST AQMD","","",.00000511712531271321355469638389811234932909,.0000045,.0000122,.0000563,.0000000252,.00000402,.00000399588
33,"SC",135207,"SC","CORONA CITY, DEPT OF WATER & POWER","1602  FAIRWAY DR","CORONA","92883",9111,"RIV","SOUTH COAST AQMD","","",.0000021378212417557425517398226063224926086,.00000188,.0000051,.0000235,.0000000105,.00000168,.00000166992
33,"SC",73492,"SC","CORONA CITY, FIRE STA #5","1200  CANYON CREST","CORONA","92882",9111,"RIV","SOUTH COAST AQMD","","",.000179667955424152831476006367978166931999,.000158,.00043,.00198,.000000885,.000141,.000140154
33,"SC",52086,"SC","CORONA CLAY CO","10600  DAWSON CANYON RD","CORONA","92883",1542,"RIV","SOUTH COAST AQMD","","",,,,,,.27,.135
33,"SC",189664,"SC","CORONA INDUSTRIAL PARK","1150 W RINCON ST","CORONA","92880",6512,"RIV","SOUTH COAST AQMD","","",.006140550375255856265635660677734819194905,.0054,.0147,.06,.0000303,.00483,.00480102
33,"SC",900180016,"SC","CORONA MUNI AIRPORT","1900 AVIATION DR","CORONA","92880",4581,"RIV","SOUTH COAST AQMD","","",4.57432109995145,4.1027157293898,140.110929124375,1.882492517545,.3871334563842,3.07833968599375,2.958289858
33,"SC",17466,"SC","CORONA NORCO UNIFIED SCHOOL DIST","2065  TEMESCAL ST","NORCO","92860",8211,"RIV","SOUTH COAST AQMD","","",.003195360473049806686377075278599044803275,.00281,.00765,.03,.0000158,.00251,.00249494
33,"SC",95667,"SC","CORONA NORCO UNIFIED SCHOOL DISTRICT","2820  CLARK AVE","NORCO","92860",8211,"RIV","SOUTH COAST AQMD","","",.0875298727992208338514175884495018696226,.00983,1.0051,.61,.0001695,.00433,.00430402
33,"SC",173872,"SC","CORONA NORCO UNIFIED SCHOOL DISTRICT","7447  SCHOLAR WAY","EASTVALE","92880",8211,"RIV","SOUTH COAST AQMD","","",.007459631566977484648624061860359335910848,.00656,.01,.08,.0000368,.00586,.00582484
33,"SC",3392,"SC","CORONA-NORCO UNI SCH DIST","300  BUENA VISTA AVE","CORONA","92882",8211,"RIV","SOUTH COAST AQMD","","",.3902243172385869015082498228565644295981,.38557,,,,,
19,"SC",18441,"SC","CORONA-NORCO UNI SCH DIST","VARIOUS LOCATIONS IN SCAQMD","DIAMOND BAR","91765",7349,"LA","SOUTH COAST AQMD","","",.0110162763001190948789202064311234616911,.00555,,,,,
33,"SC",100941,"SC","CORONA-NORCO UNI SCH DIST - CITRUS HILLS","3211  S MAIN ST GATE DR/FOOTHILL","CORONA","92882",8211,"RIV","SOUTH COAST AQMD","","",.000805585392051557465091299677765843179377,.000075,.00949,.00564,.0000015,.000025,.00002485
33,"SC",71767,"SC","CORONA-NORCO UNIFIED SCHOOL DISTRICT","1150 W 10TH ST","CORONA","92882",8211,"RIV","SOUTH COAST AQMD","","",.004264271093927677962246986581760291107573,.00375,.01,.04,.000021,.00335,.0033299
