App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01389,SPC and NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,In Progress,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01389,SPC and NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01390,SPC and NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Completed,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01390,SPC and NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,In Progress,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01390,SPC and NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01391,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01391,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,In Progress,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01391,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01392,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01392,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,In Progress,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01392,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02947,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02947,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02948,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02948,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05235,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05235,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05303,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05303,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05425,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05425,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06816,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06816,NPC Retrofit,None,District,,Property Owner,,,District,Yes,San Gorgonio Memorial Healthcare District,District,,Not Started,District,San Gorgonio Memorial Healthcare District,San Gorgonio Memorial Healthcare District
