App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00402,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,In Progress,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00402,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00404,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,In Progress,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00404,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00405,NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,In Progress,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00405,NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00406,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,In Progress,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00406,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02822,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,In Progress,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02822,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Managing Organization/Licensee,,,Private (Investor - Limited Liability Company),Yes,Samuel Einhorn,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),Samuel Einhorn,Samuel Einhorn
