App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00658,SPC and NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00659,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,In Progress,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00659,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00660,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00660,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,In Progress,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00660,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00661,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00661,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,In Progress,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00661,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-06614,NPC Retrofit,None,Private (Investor – Corporation),"Gardena Acquisitions, LLC",Managing Organization/Licensee,,"KND Development 53, LLC",Private (Investor – Corporation),No,"Gardena Acquisitions, LLC",Private (Investor – Corporation),,,Private (Investor – Corporation),"KND Development 53, LLC","KND Development 53, LLC"
