App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00725,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Catalina Island Medical Center,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Catalina Island Medical Center,Catalina Island Medical Center
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00725,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Catalina Island Medical Center,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Catalina Island Medical Center,Catalina Island Medical Center
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00725,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Catalina Island Medical Center,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Catalina Island Medical Center,Catalina Island Medical Center
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00726,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Catalina Island Medical Center,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Catalina Island Medical Center,Catalina Island Medical Center
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00726,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Catalina Island Medical Center,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Catalina Island Medical Center,Catalina Island Medical Center
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00726,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Catalina Island Medical Center,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Catalina Island Medical Center,Catalina Island Medical Center
