App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01205,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01205,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01206,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01206,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01208,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01208,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01210,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01210,Relocate services to NEW building(s),None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
