App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00986,SPC and NPC Retrofit,None,Private (Investor – Corporation),"Dynamic Real Estate Holdings, LLC",Managing Organization/Licensee,,"KND Development 54, LLC",Private (Investor – Corporation),No,"Dynamic Real Estate Holdings, LLC",Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),"KND Development 54, LLC","KND Development 54, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-03519,NPC Retrofit,None,Private (Investor – Corporation),"Dynamic Real Estate Holdings, LLC",Managing Organization/Licensee,,"KND Development 54, LLC",Private (Investor – Corporation),No,"Dynamic Real Estate Holdings, LLC",Private (Investor – Corporation),,In Progress,Private (Investor – Corporation),"KND Development 54, LLC","KND Development 54, LLC"
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-03519,NPC Retrofit,None,Private (Investor – Corporation),"Dynamic Real Estate Holdings, LLC",Managing Organization/Licensee,,"KND Development 54, LLC",Private (Investor – Corporation),No,"Dynamic Real Estate Holdings, LLC",Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),"KND Development 54, LLC","KND Development 54, LLC"
