App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02517,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Completed,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02517,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,In Progress,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02517,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Not Started,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03488,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03488,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Completed,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03488,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Not Started,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03489,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03489,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Completed,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03489,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Not Started,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03490,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03490,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Completed,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03490,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Not Started,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-05814,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-05814,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Not Started,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-06352,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-06352,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Not Started,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-07405,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-07405,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Completed,County,Riverside County,Riverside County
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-07405,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Riverside County,County,,Not Started,County,Riverside County,Riverside County
