App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02895,NPC Retrofit,None,University of California,,Property Owner,,,University of California,Yes,UC Regents,University of California,,,University of California,UC Regents,UC Regents
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02895,NPC Retrofit,None,University of California,,Property Owner,,,University of California,Yes,UC Regents,University of California,,Completed,University of California,UC Regents,UC Regents
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02895,NPC Retrofit,None,University of California,,Property Owner,,,University of California,Yes,UC Regents,University of California,,In Progress,University of California,UC Regents,UC Regents
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02895,NPC Retrofit,None,University of California,,Property Owner,,,University of California,Yes,UC Regents,University of California,,Not Started,University of California,UC Regents,UC Regents
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02926,Relocate services to NEW building(s),None,University of California,,Property Owner,,,University of California,Yes,UC Regents,University of California,,In Progress,University of California,UC Regents,UC Regents
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02926,Relocate services to NEW building(s),None,University of California,,Property Owner,,,University of California,Yes,UC Regents,University of California,,Not Started,University of California,UC Regents,UC Regents
