App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01376,"No GAC services, convert to OSHPD 1R",None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01376,"No GAC services, convert to OSHPD 1R",None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,In Progress,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01377,NPC Retrofit,None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01377,NPC Retrofit,None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,In Progress,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01378,NPC Retrofit,None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01378,NPC Retrofit,None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,In Progress,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01379,"No GAC services, convert to OSHPD 1R",None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01379,"No GAC services, convert to OSHPD 1R",None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,In Progress,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01380,"No GAC services, convert to OSHPD 1R",None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,,District,Palo Verde Healthcare District,Palo Verde Healthcare District
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01380,"No GAC services, convert to OSHPD 1R",None,District,,Property Owner,,,District,Yes,Palo Verde Healthcare District,District,,In Progress,District,Palo Verde Healthcare District,Palo Verde Healthcare District
