App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01029,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,Completed,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01029,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,In Progress,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01029,SPC and NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01030,NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,Completed,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01030,NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,In Progress,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01030,NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02631,NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,Completed,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02631,NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,In Progress,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02631,NPC Retrofit,None,Private (Investor - Limited Liability Company),,Property Owner,,,Private (Investor - Limited Liability Company),Yes,Foothill Regional Medical Center,Private (Investor - Limited Liability Company),,Not Started,Private (Investor - Limited Liability Company),Foothill Regional Medical Center,Foothill Regional Medical Center
