App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02098,2030 Compliant Building,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02098,2030 Compliant Building,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,Completed,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02099,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02099,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,Completed,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02099,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,In Progress,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02099,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,Not Started,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02100,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02100,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,Completed,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02100,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,In Progress,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02100,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,Not Started,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02101,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02101,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,Completed,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-02101,SPC and NPC Retrofit,None,District,,Managing Organization/Licensee,,,District,Yes,Sharp Grossmont Hospital,District,,In Progress,District,Sharp Grossmont Hospital,Sharp Grossmont Hospital
