App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05182,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05182,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,In Progress,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-05182,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06852,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-06852,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-07329,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-07329,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-07330,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-07330,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-07331,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-07331,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-07336,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-07336,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Lancaster Hospital Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Lancaster Hospital Corporation,Lancaster Hospital Corporation
