App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01163,SPC and NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01163,SPC and NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01164,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01164,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01164,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01164,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01165,SPC and NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01165,SPC and NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01166,SPC and NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01166,SPC and NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01167,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01167,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01167,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01167,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01168,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01168,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01168,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01168,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01171,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Roger Sharma,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Roger Sharma,Roger Sharma
