App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00388,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00388,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00389,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00389,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00390,Demolish building,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00390,Demolish building,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00390,Demolish building,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00391,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00391,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00391,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00392,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00392,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00392,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00393,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-00393,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,CommonSpirit Health,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),CommonSpirit Health,CommonSpirit Health
