App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00803,SPC and NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Not Started,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00804,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00804,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Completed,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00804,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Not Started,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00805,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00805,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Completed,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00805,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Not Started,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00806,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00806,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Completed,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00806,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Not Started,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00808,SPC and NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Not Started,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00809,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00809,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Completed,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-00809,NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Not Started,County,Kern County Hospital Authority,Kern County Hospital Authority
Compliance Plan has been Finalized.,Approved - Noncompliance Noted,Compliance Plan has been Finalized., ,BLD-03806,SPC and NPC Retrofit,None,County,,Property Owner,,,County,Yes,Kern County Hospital Authority,County,,Not Started,County,Kern County Hospital Authority,Kern County Hospital Authority
