App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01370,SPC and NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,Completed,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01370,SPC and NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,In Progress,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01370,SPC and NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01371,SPC and NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01371,SPC and NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,Completed,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01371,SPC and NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,In Progress,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01371,SPC and NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01372,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01372,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,In Progress,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
Compliance Plan has been Finalized.,Not Approved,Compliance Plan has been Finalized., ,BLD-01372,NPC Retrofit,None,Private (Investor – Corporation),,Property Owner,,,Private (Investor – Corporation),Yes,Tenet Healthcare Corporation,Private (Investor – Corporation),,Not Started,Private (Investor – Corporation),Tenet Healthcare Corporation,Tenet Healthcare Corporation
